           data_ora  elevazione  azimuth
2023-03-01 02:00:02        19.9    294.9
2023-03-01 02:00:05        19.9    294.9
2023-03-01 02:00:08        20.0    294.9
2023-03-01 02:00:11        20.0    294.9
2023-03-01 02:00:14        20.0    294.9
2023-03-01 02:00:17        20.1    294.9
2023-03-01 02:00:20        20.2    294.9
2023-03-01 02:00:23        20.3    294.9
2023-03-01 02:00:26        20.3    294.9
2023-03-01 02:00:29        20.4    294.9
2023-03-01 02:00:32        20.4    294.9
2023-03-01 02:00:35        20.6    294.9
2023-03-01 02:00:38        20.6    294.9
2023-03-01 02:00:41        20.7    294.9
2023-03-01 02:00:44        20.7    294.9
2023-03-01 02:00:47        20.7    294.9
2023-03-01 02:00:50        20.8    294.9
2023-03-01 02:00:53        20.8    294.9
2023-03-01 02:00:56        20.8    294.9
2023-03-01 02:00:59        20.9    294.9
2023-03-01 02:01:02        20.9    294.9
2023-03-01 02:01:05        20.9    294.9
2023-03-01 02:01:08        21.0    294.9
2023-03-01 02:01:11        21.0    294.9
2023-03-01 02:01:14        21.1    294.9
2023-03-01 02:01:17        21.1    294.9
2023-03-01 02:01:20        21.1    294.9
2023-03-01 02:01:23        21.1    294.9
2023-03-01 02:01:26        21.2    294.9
2023-03-01 02:01:29        21.2    294.9
2023-03-01 02:01:32        21.2    294.9
2023-03-01 02:01:35        21.2    294.9
2023-03-01 02:01:38        21.4    294.9
2023-03-01 02:01:41        21.4    294.9
2023-03-01 02:01:44        21.5    294.9
2023-03-01 02:01:47        21.5    294.9
2023-03-01 02:01:50        21.6    294.9
2023-03-01 02:01:53        21.6    294.9
2023-03-01 02:01:56        21.7    294.9
2023-03-01 02:01:59        21.7    294.9
2023-03-01 02:02:02        21.9    294.9
2023-03-01 02:02:05        21.9    294.9
2023-03-01 02:02:08        21.9    294.9
2023-03-01 02:02:11        22.0    294.9
2023-03-01 02:02:14        22.1    294.9
2023-03-01 02:02:17        22.2    294.9
2023-03-01 02:02:20        22.3    294.9
2023-03-01 02:02:23        22.3    294.9
2023-03-01 02:02:26        22.4    294.9
2023-03-01 02:02:29        22.4    294.9
2023-03-01 02:02:32        22.5    294.9
2023-03-01 02:02:35        22.6    294.9
2023-03-01 02:02:38        22.7    294.9
2023-03-01 02:02:41        22.8    294.9
2023-03-01 02:02:44        22.8    294.9
2023-03-01 02:02:47        22.9    294.9
2023-03-01 02:02:50        23.0    294.9
2023-03-01 02:02:53        23.1    294.9
2023-03-01 02:02:56        23.2    294.9
2023-03-01 02:02:59        23.2    294.9
2023-03-01 02:03:02        23.2    294.9
2023-03-01 02:03:05        23.3    294.9
2023-03-01 02:03:08        23.4    294.9
2023-03-01 02:03:11        23.5    294.9
2023-03-01 02:03:14        23.5    294.9
2023-03-01 02:03:17        23.6    294.9
2023-03-01 02:03:20        23.6    294.9
2023-03-01 02:03:23        23.8    294.9
2023-03-01 02:03:26        23.9    294.9
2023-03-01 02:03:29        23.9    294.9
2023-03-01 02:03:32        24.0    294.9
2023-03-01 02:03:35        24.0    294.9
2023-03-01 02:03:38        24.1    294.9
2023-03-01 02:03:41        24.1    294.9
2023-03-01 02:03:44        24.3    294.9
2023-03-01 02:03:47        24.3    294.9
2023-03-01 02:03:50        24.4    294.9
2023-03-01 02:03:53        24.4    294.9
2023-03-01 02:03:56        24.5    294.9
2023-03-01 02:03:59        24.6    294.9
2023-03-01 02:04:02        24.7    294.9
2023-03-01 02:04:05        24.8    294.9
2023-03-01 02:04:08        24.8    294.9
2023-03-01 02:04:11        24.8    294.9
2023-03-01 02:04:14        24.9    294.9
2023-03-01 02:04:17        24.9    294.9
2023-03-01 02:04:20        24.9    294.9
2023-03-01 02:04:23        24.9    294.9
2023-03-01 02:04:26        24.9    294.9
2023-03-01 02:04:29        24.9    294.9
2023-03-01 02:04:32        24.9    294.9
2023-03-01 02:04:35        24.9    294.9
2023-03-01 02:04:38        24.9    294.9
2023-03-01 02:04:41        24.9    294.9
2023-03-01 02:04:44        24.9    294.9
2023-03-01 02:04:47        24.9    294.9
2023-03-01 02:04:50        24.9    294.9
2023-03-01 02:04:53        24.9    294.9
2023-03-01 02:04:56        24.9    294.9
2023-03-01 02:04:59        24.9    294.9
2023-03-01 02:05:02        24.9    294.9
2023-03-01 02:05:05        24.9    294.9
2023-03-01 02:05:08        24.9    294.9
2023-03-01 02:05:11        24.9    294.9
2023-03-01 02:05:14        24.9    294.9
2023-03-01 02:05:17        24.9    294.9
2023-03-01 02:05:20        24.9    294.9
2023-03-01 02:05:23        24.9    294.9
2023-03-01 02:05:26        24.9    294.9
2023-03-01 02:05:29        24.9    294.9
2023-03-01 02:05:32        24.9    294.9
2023-03-01 02:05:35        24.9    294.9
2023-03-01 02:05:38        24.9    294.9
2023-03-01 02:05:41        24.9    294.9
2023-03-01 02:05:44        24.9    294.9
2023-03-01 02:05:47        24.9    294.9
2023-03-01 02:05:50        24.9    294.9
2023-03-01 02:05:53        24.9    294.9
2023-03-01 02:05:56        24.9    294.9
2023-03-01 02:05:59        24.9    294.9
2023-03-01 02:06:02        24.9    294.9
2023-03-01 02:06:05        24.9    294.9
2023-03-01 02:06:08        24.9    294.9
2023-03-01 02:06:11        24.9    294.9
2023-03-01 02:06:14        24.9    294.9
2023-03-01 02:06:17        24.9    294.9
2023-03-01 02:06:20        24.9    294.9
2023-03-01 02:06:23        24.9    294.9
2023-03-01 02:06:26        24.9    294.9
2023-03-01 02:06:29        24.9    294.9
2023-03-01 02:06:32        24.9    294.9
2023-03-01 02:06:35        24.9    294.9
2023-03-01 02:06:38        24.9    294.9
2023-03-01 02:06:41        24.9    294.9
2023-03-01 02:06:44        24.9    294.9
2023-03-01 02:06:47        24.9    294.9
2023-03-01 02:06:50        24.9    294.9
2023-03-01 02:06:53        24.9    294.9
2023-03-01 02:06:56        24.9    294.9
2023-03-01 02:06:59        24.9    294.9
2023-03-01 02:07:02        24.9    294.9
2023-03-01 02:07:05        24.9    294.9
2023-03-01 02:07:08        24.9    294.9
2023-03-01 02:07:11        24.9    294.9
2023-03-01 02:07:14        24.9    294.9
2023-03-01 02:07:17        24.9    294.9
2023-03-01 02:07:20        24.9    294.9
2023-03-01 02:07:23        24.9    294.9
2023-03-01 02:07:26        24.9    294.9
2023-03-01 02:07:29        24.9    294.9
2023-03-01 02:07:32        24.9    294.9
2023-03-01 02:07:35        24.9    294.9
2023-03-01 02:07:38        24.9    294.9
2023-03-01 02:07:41        24.9    294.9
2023-03-01 02:07:44        24.9    294.9
2023-03-01 02:07:47        24.9    294.9
2023-03-01 02:07:50        24.9    294.9
2023-03-01 02:07:53        24.9    294.9
2023-03-01 02:07:56        24.9    294.9
2023-03-01 02:07:59        24.9    294.9
2023-03-01 02:08:02        24.9    294.9
2023-03-01 02:08:05        25.0    295.0
2023-03-01 02:08:08        25.1    295.0
2023-03-01 02:08:11        25.1    295.0
2023-03-01 02:08:14        25.2    295.0
2023-03-01 02:08:17        25.2    295.0
2023-03-01 02:08:20        25.4    295.0
2023-03-01 02:08:23        25.5    295.0
2023-03-01 02:08:26        25.5    295.0
2023-03-01 02:08:29        25.6    295.0
2023-03-01 02:08:32        25.6    295.0
2023-03-01 02:08:35        25.7    295.0
2023-03-01 02:08:38        25.7    295.0
2023-03-01 02:08:41        25.9    295.0
2023-03-01 02:08:44        26.0    295.0
2023-03-01 02:08:47        26.0    295.0
2023-03-01 02:08:50        26.0    295.0
2023-03-01 02:08:53        26.2    295.0
2023-03-01 02:08:56        26.2    295.0
