               data_ora   rad  temperatura
2023-03-01 02:00:02.151  5039        40.35
2023-03-01 02:00:02.354  5013        40.35
2023-03-01 02:00:02.557  5024        40.35
2023-03-01 02:00:02.776  5019        40.35
2023-03-01 02:00:02.979  5015        40.35
2023-03-01 02:00:03.182  5006        40.35
2023-03-01 02:00:03.385  5057        40.35
2023-03-01 02:00:03.604  5061        40.35
2023-03-01 02:00:03.822  5046        40.35
2023-03-01 02:00:04.026  5054        40.35
2023-03-01 02:00:04.244  5044        40.35
2023-03-01 02:00:04.447  5060        40.35
2023-03-01 02:00:04.651  5045        40.35
2023-03-01 02:00:04.822  5059        40.35
2023-03-01 02:00:05.041  5050        40.35
2023-03-01 02:00:05.244  5043        40.35
2023-03-01 02:00:05.463  5045        40.35
2023-03-01 02:00:05.666  5043        40.35
2023-03-01 02:00:05.869  5066        40.35
2023-03-01 02:00:06.057  5062        40.35
2023-03-01 02:00:06.275  5033        40.35
2023-03-01 02:00:06.479  5017        40.35
2023-03-01 02:00:06.682  5016        40.35
2023-03-01 02:00:06.885  5035        40.35
2023-03-01 02:00:07.104  5019        40.35
2023-03-01 02:00:07.322  5016        40.35
2023-03-01 02:00:07.536  4998        40.35
2023-03-01 02:00:07.739  4978        40.35
2023-03-01 02:00:07.942  5009        40.35
2023-03-01 02:00:08.161  5002        40.35
2023-03-01 02:00:08.379  5008        40.35
2023-03-01 02:00:08.567  4986        40.35
2023-03-01 02:00:08.786  4990        40.35
2023-03-01 02:00:08.957  4978        40.35
2023-03-01 02:00:09.161  4986        40.35
2023-03-01 02:00:09.379  4978        40.35
2023-03-01 02:00:09.582  4984        40.35
2023-03-01 02:00:09.786  4968        40.35
2023-03-01 02:00:09.989  4973        40.32
2023-03-01 02:00:10.207  4945        40.32
2023-03-01 02:00:10.411  4952        40.32
2023-03-01 02:00:10.614  4960        40.32
2023-03-01 02:00:10.817  4948        40.32
2023-03-01 02:00:11.035  4924        40.32
2023-03-01 02:00:11.239  4934        40.32
2023-03-01 02:00:11.442  4947        40.32
2023-03-01 02:00:11.660  4937        40.32
2023-03-01 02:00:11.864  4937        40.32
2023-03-01 02:00:12.067  4932        40.32
2023-03-01 02:00:12.285  4932        40.32
2023-03-01 02:00:12.504  4917        40.32
2023-03-01 02:00:12.707  4923        40.32
2023-03-01 02:00:12.879  4930        40.32
2023-03-01 02:00:13.082  4922        40.32
2023-03-01 02:00:13.285  4945        40.32
2023-03-01 02:00:13.489  4926        40.32
2023-03-01 02:00:13.707  4923        40.32
2023-03-01 02:00:13.910  4901        40.32
2023-03-01 02:00:14.113  4883        40.32
2023-03-01 02:00:14.332  4894        40.32
2023-03-01 02:00:14.535  4885        40.32
2023-03-01 02:00:14.738  4891        40.32
2023-03-01 02:00:14.942  4903        40.32
2023-03-01 02:00:15.160  4884        40.29
2023-03-01 02:00:15.363  4900        40.29
2023-03-01 02:00:15.582  4889        40.29
2023-03-01 02:00:15.801  4881        40.29
2023-03-01 02:00:16.004  4881        40.29
2023-03-01 02:00:16.207  4874        40.29
2023-03-01 02:00:16.426  4902        40.29
2023-03-01 02:00:16.629  4894        40.32
2023-03-01 02:00:16.801  4886        40.29
2023-03-01 02:00:17.004  4888        40.29
2023-03-01 02:00:17.223  4905        40.29
2023-03-01 02:00:17.426  4894        40.29
2023-03-01 02:00:17.629  4881        40.29
2023-03-01 02:00:17.832  4900        40.29
2023-03-01 02:00:18.035  4908        40.29
2023-03-01 02:00:18.238  4926        40.29
2023-03-01 02:00:18.441  4929        40.29
2023-03-01 02:00:18.660  4954        40.29
2023-03-01 02:00:18.879  4946        40.29
2023-03-01 02:00:19.082  4958        40.29
2023-03-01 02:00:19.301  4973        40.29
2023-03-01 02:00:19.504  4951        40.29
2023-03-01 02:00:19.707  4949        40.29
2023-03-01 02:00:19.910  4936        40.29
2023-03-01 02:00:20.129  4969        40.29
2023-03-01 02:00:20.348  4973        40.29
2023-03-01 02:00:20.551  4960        40.29
2023-03-01 02:00:21.004  4966        40.29
2023-03-01 02:00:21.020  4964        40.29
2023-03-01 02:00:21.129  4941        40.29
2023-03-01 02:00:21.332  4945        40.29
