               data_ora   rad  temperatura elevazione
2023-01-20 02:22:09.176  3680        40.32         20
2023-01-20 02:22:09.379  3679        40.32         20
2023-01-20 02:22:09.597  3680        40.32         20
2023-01-20 02:22:09.800  3686        40.32         20
2023-01-20 02:22:10.004  3689        40.32         20
2023-01-20 02:22:10.207  3679        40.32         20
2023-01-20 02:22:10.425  3695        40.32         20
2023-01-20 02:22:10.629  3695        40.32         20
2023-01-20 02:22:10.832  3693        40.32         20
2023-01-20 02:22:11.050  3697        40.32         20
2023-01-20 02:22:11.254  3686        40.32         20
2023-01-20 02:22:11.457  3711        40.32         20
2023-01-20 02:22:11.675  3721        40.32         20
2023-01-20 02:22:11.879  3696        40.32         20
2023-01-20 02:22:12.097  3699        40.32         20
2023-01-20 02:22:12.316  3705        40.32         20
2023-01-20 02:22:12.472  3700        40.32         20
2023-01-20 02:22:12.675  3690        40.32         20
2023-01-20 02:22:12.894  3698        40.32         20
2023-01-20 02:22:13.097  3695        40.35         20
2023-01-20 02:22:13.300  3690        40.35         20
2023-01-20 02:22:13.519  3692        40.35         20
2023-01-20 02:22:13.722  3694        40.35         20
2023-01-20 02:22:13.925  3691        40.35         20
2023-01-20 02:22:14.144  3707        40.35         20
2023-01-20 02:22:14.332  3708        40.35         20
2023-01-20 02:22:14.550  3695        40.35         20
2023-01-20 02:22:14.769  3693        40.35         20
2023-01-20 02:22:14.972  3710        40.35         20
2023-01-20 02:22:15.175  3707        40.35         20
2023-01-20 02:22:15.378  3715        40.35         20
2023-01-20 02:22:15.597  3690        40.35         20
2023-01-20 02:22:15.800  3694        40.35         20
2023-01-20 02:22:16.019  3684        40.38         20
2023-01-20 02:22:16.222  3680        40.35         20
2023-01-20 02:22:16.441  3679        40.38         20
2023-01-20 02:22:16.613  3663        40.35         20
2023-01-20 02:22:16.816  3683        40.38         20
2023-01-20 02:22:17.019  3676        40.38         20
2023-01-20 02:22:17.222  3679        40.38         20
2023-01-20 02:22:17.441  3689        40.38         20
2023-01-20 02:22:17.644  3668        40.38         20
2023-01-20 02:22:17.847  3678        40.38         20
2023-01-20 02:22:18.050  3674        40.38         20
2023-01-20 02:22:18.253  3692        40.38         20
2023-01-20 02:22:18.456  3680        40.38         20
2023-01-20 02:22:18.675  3671        40.38         20
2023-01-20 02:22:18.894  3675        40.38         20
2023-01-20 02:22:19.097  3672        40.38         20
2023-01-20 02:22:19.316  3660        40.38         20
2023-01-20 02:22:19.519  3659        40.38         20
2023-01-20 02:22:19.732  3689        40.38         20
2023-01-20 02:22:19.935  3681        40.38         20
2023-01-20 02:22:20.139  3687        40.38         20
2023-01-20 02:22:20.357  3665        40.38         20
2023-01-20 02:22:20.529  3665        40.38         20
2023-01-20 02:22:20.732  3670        40.38         20
2023-01-20 02:22:20.935  3672        40.38         20
2023-01-20 02:22:21.154  3660        40.38         20
2023-01-20 02:22:21.357  3669        40.38         20
2023-01-20 02:22:21.560  3668        40.38         20
2023-01-20 02:22:21.763  3674        40.38         20
2023-01-20 02:22:21.967  3680        40.38         20
2023-01-20 02:22:22.170  3673        40.38         20
2023-01-20 02:22:22.388  3680        40.38         20
2023-01-20 02:22:22.592  3677        40.38         20
2023-01-20 02:22:22.810  3668        40.38         20
2023-01-20 02:22:23.029  3692        40.38         20
2023-01-20 02:22:23.232  3678        40.38         20
2023-01-20 02:22:23.451  3676        40.38         20
2023-01-20 02:22:23.654  3676        40.38         20
2023-01-20 02:22:23.857  3682        40.38         20
2023-01-20 02:22:24.060  3682        40.38         20
2023-01-20 02:22:24.279  3691        40.38         20
2023-01-20 02:22:24.451  3674        40.38         20
2023-01-20 02:22:24.654  3677        40.38         20
2023-01-20 02:22:24.857  3685        40.38         20
2023-01-20 02:22:25.076  3670        40.38         20
2023-01-20 02:22:25.279  3668        40.38         20
2023-01-20 02:22:25.482  3666        40.38         20
2023-01-20 02:22:25.685  3670        40.38         20
2023-01-20 02:22:25.888  3673        40.38         20
2023-01-20 02:22:26.092  3672        40.38         20
2023-01-20 02:22:26.310  3688        40.38         20
2023-01-20 02:22:26.513  3672        40.38         20
2023-01-20 02:22:26.717  3665        40.38         20
2023-01-20 02:22:26.935  3664        40.38         20
2023-01-20 02:22:27.154  3697        40.38         20
2023-01-20 02:22:27.357  3685        40.38         20
2023-01-20 02:22:27.576  3699        40.35         20
2023-01-20 02:22:27.779  3687        40.35         20
2023-01-20 02:22:27.982  3677        40.35         20
2023-01-20 02:22:28.201  3708        40.35         20
2023-01-20 02:22:28.404  3697        40.35         20
2023-01-20 02:22:28.576  3708        40.35         20
2023-01-20 02:22:28.795  3696        40.35         20
2023-01-20 02:22:28.998  3704        40.35         20
2023-01-20 02:22:29.201  3688        40.35         20
2023-01-20 02:22:29.404  3693        40.35         20
2023-01-20 02:22:29.607  3707        40.35         20
2023-01-20 02:22:29.810  3710        40.35         20
2023-01-20 02:22:30.029  3717        40.35         20
2023-01-20 02:22:30.232  3695        40.35         20
2023-01-20 02:22:30.435  3713        40.35         20
2023-01-20 02:22:30.654  3714        40.35         20
2023-01-20 02:22:30.857  3731        40.35         20
2023-01-20 02:22:31.060  3704        40.35         20
2023-01-20 02:22:31.279  3708        40.35         20
2023-01-20 02:22:31.498  3705        40.35         20
2023-01-20 02:22:31.701  3726        40.35         20
2023-01-20 02:22:31.919  3726        40.35         20
2023-01-20 02:22:32.123  3714        40.35         20
2023-01-20 02:22:32.326  3711        40.35         20
2023-01-20 02:22:32.498  3696        40.35         20
2023-01-20 02:22:32.716  3718        40.35         20
2023-01-20 02:22:32.919  3698        40.35         20
2023-01-20 02:22:33.123  3708        40.35         20
2023-01-20 02:22:33.326  3710        40.35         20
2023-01-20 02:22:33.529  3714        40.35         20
2023-01-20 02:22:33.732  3727        40.35         20
2023-01-20 02:22:33.951  3717        40.32         20
2023-01-20 02:22:34.154  3728        40.32         20
2023-01-20 02:22:34.357  3731        40.32         20
2023-01-20 02:22:34.576  3710        40.32         20
2023-01-20 02:22:34.779  3711        40.32         20
2023-01-20 02:22:34.982  3715        40.32         20
2023-01-20 02:22:35.201  3713        40.32         20
2023-01-20 02:22:35.404  3705        40.32         20
2023-01-20 02:22:35.622  3689        40.32         20
2023-01-20 02:22:35.826  3698        40.32         20
2023-01-20 02:22:36.044  3700        40.32         20
2023-01-20 02:22:36.247  3700        40.32         20
2023-01-20 02:22:36.466  3704        40.32         20
2023-01-20 02:22:36.638  3673        40.32         20
2023-01-20 02:22:36.841  3682        40.32         20
2023-01-20 02:22:37.029  3677        40.29         20
2023-01-20 02:22:37.247  3686        40.29         20
2023-01-20 02:22:37.451  3683        40.29         20
2023-01-20 02:22:37.654  3684        40.29         20
2023-01-20 02:22:37.872  3686        40.29         20
2023-01-20 02:22:38.076  3689        40.29         20
2023-01-20 02:22:38.279  3672        40.29         20
2023-01-20 02:22:38.497  3690        40.29         20
2023-01-20 02:22:38.701  3682        40.29         20
2023-01-20 02:22:38.919  3663        40.29         20
2023-01-20 02:22:39.122  3668        40.29         20
2023-01-20 02:22:39.325  3680        40.29         20
2023-01-20 02:22:39.529  3694        40.29         20
2023-01-20 02:22:39.747  3686        40.29         20
2023-01-20 02:22:39.951  3689        40.29         20
2023-01-20 02:22:40.169  3675        40.29         20
2023-01-20 02:22:40.388  3704        40.29         20
2023-01-20 02:22:40.544  3693        40.29         20
2023-01-20 02:22:40.747  3699        40.26         20
2023-01-20 02:22:40.966  3701        40.26         20
2023-01-20 02:22:41.169  3702        40.26         20
2023-01-20 02:22:41.372  3697        40.26         20
2023-01-20 02:22:41.575  3705        40.26         20
2023-01-20 02:22:41.794  3697        40.26         20
2023-01-20 02:22:41.997  3688        40.26         20
2023-01-20 02:22:42.216  3711        40.26         20
2023-01-20 02:22:42.419  3705        40.26         20
2023-01-20 02:22:42.622  3687        40.29         20
2023-01-20 02:22:42.825  3694        40.29         20
2023-01-20 02:22:43.044  3697        40.29         20
2023-01-20 02:22:43.247  3685        40.26         20
2023-01-20 02:22:43.450  3680        40.26         20
2023-01-20 02:22:43.669  3717        40.26         20
2023-01-20 02:22:43.872  3703        40.26         20
2023-01-20 02:22:44.075  3711        40.26         20
