elevaz	rad	er x	er y
-55	3675,96961	0,1	104,7414032
-50	3625,614458	0,1	89,85551274
-45	2915,525229	0,1	28,23190998
-40	3029,668966	0,1	24,55861898
-35	3083,296552	0,1	39,34906538
-30	2914,027586	0,1	45,83908219
-25	2884,120275	0,1	41,53979357
-20	2700,784404	0,1	38,82704751
20	2700,784404	0,1	38,82704751
25	2781,783069	0,1	37,69872936
30	2845,46039	0,1	47,95874712
35	3028,621668	0,1	74,14748719
40	3172,219931	0,1	54,75594518
45	3129,909716	0,1	43,15691579
50	3796,323302	0,1	85,80146819
55	3558,982818	0,1	38,89494755
