           data_ora  elevazione  azimuth
2023-01-20 02:22:09        20.1     80.0
2023-01-20 02:22:12        20.0     80.0
2023-01-20 02:22:15        20.0     80.0
2023-01-20 02:22:18        19.9     80.0
2023-01-20 02:22:21        19.9     80.0
2023-01-20 02:22:24        19.9     80.0
2023-01-20 02:22:27        19.9     80.0
2023-01-20 02:22:30        19.9     80.0
2023-01-20 02:22:33        19.9     80.0
2023-01-20 02:22:36        19.9     80.0
2023-01-20 02:22:39        19.9     80.0
2023-01-20 02:22:42        19.9     80.0
2023-01-20 02:22:45        19.9     80.0
2023-01-20 02:22:48        19.9     80.0
2023-01-20 02:22:51        19.9     80.0
2023-01-20 02:22:54        19.9     80.0
2023-01-20 02:22:57        19.9     80.0
2023-01-20 02:23:00        19.9     80.0
2023-01-20 02:23:03        19.9     80.0
2023-01-20 02:23:06        19.9     80.0
2023-01-20 02:23:09        19.9     80.0
2023-01-20 02:23:12        19.9     80.0
2023-01-20 02:23:15        19.9     80.0
2023-01-20 02:23:18        19.9     80.0
2023-01-20 02:23:21        19.9     80.0
2023-01-20 02:23:24        19.9     80.0
2023-01-20 02:23:27        19.9     80.0
2023-01-20 02:23:30        19.9     80.0
2023-01-20 02:23:33        19.9     80.0
2023-01-20 02:23:36        19.9     80.0
2023-01-20 02:23:39        19.9     80.0
2023-01-20 02:23:42        19.9     80.0
2023-01-20 02:23:45        19.9     80.0
2023-01-20 02:23:48        19.9     80.0
2023-01-20 02:23:51        19.9     80.0
2023-01-20 02:23:54        19.9     80.0
2023-01-20 02:23:57        19.9     80.0
2023-01-20 02:24:00        19.9     80.0
2023-01-20 02:24:03        19.9     80.0
2023-01-20 02:24:06        19.9     80.0
2023-01-20 02:24:09        19.9     80.0
2023-01-20 02:24:12        19.9     80.0
2023-01-20 02:24:15        19.9     80.0
2023-01-20 02:24:18        19.9     80.0
2023-01-20 02:24:21        19.9     80.0
2023-01-20 02:24:24        19.9     80.0
2023-01-20 02:24:27        19.9     80.0
2023-01-20 02:24:30        19.9     80.0
2023-01-20 02:24:33        19.9     80.0
2023-01-20 02:24:36        19.9     80.0
2023-01-20 02:24:39        19.9     80.0
2023-01-20 02:24:42        19.9     80.0
2023-01-20 02:24:45        19.9     80.0
2023-01-20 02:24:48        19.9     80.0
2023-01-20 02:24:51        19.9     80.0
2023-01-20 02:24:54        19.9     80.0
2023-01-20 02:24:57        19.9     80.0
2023-01-20 02:25:00        19.9     80.0
2023-01-20 02:25:03        19.9     80.0
2023-01-20 02:25:06        19.9     80.0
2023-01-20 02:25:09        19.9     80.0
2023-01-20 02:25:12        19.9     80.0
2023-01-20 02:25:15        19.9     80.0
2023-01-20 02:25:18        19.9     80.0
2023-01-20 02:25:21        19.9     80.0
2023-01-20 02:25:24        19.9     80.0
2023-01-20 02:25:27        19.9     80.0
2023-01-20 02:25:30        19.9     80.0
2023-01-20 02:25:33        19.9     80.0
2023-01-20 02:25:36        19.9     80.0
2023-01-20 02:25:39        19.9     80.0
2023-01-20 02:25:42        19.9     80.0
